Id,Name,Description,PlainText,Image,Gold,Tags,Stats
1001,Boots,<mainText><stats><attention>25</attention> Move Speed</stats></mainText><br>,Slightly increases Move Speed,1001.png,300,Boots,25ms
1004,Faerie Charm,<mainText><stats><attention>50%</attention> Base Mana Regen</stats></mainText><br>,Slightly increases Mana Regen,1004.png,250,ManaRegen,50mpr
1006,Rejuvenation Bead,<mainText><stats><attention>100%</attention> Base Health Regen</stats></mainText><br>,Slightly increases Health Regen,1006.png,300,HealthRegen,100hpr
1011,Giant's Belt,<mainText><stats><attention>350</attention> Health</stats></mainText><br>,Greatly increases Health,1011.png,900,Health,350hp
1018,Cloak of Agility,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats></mainText><br>,Increases critical strike chance,1018.png,600,CriticalStrike,15cs
1026,Blasting Wand,<mainText><stats><attention>40</attention> Ability Power</stats></mainText><br>,Moderately increases Ability Power,1026.png,850,SpellDamage,40ap
1027,Sapphire Crystal,<mainText><stats><attention>250</attention> Mana</stats></mainText><br>,Increases Mana,1027.png,350,Mana,250mp
1028,Ruby Crystal,<mainText><stats><attention>150</attention> Health</stats></mainText><br>,Increases Health,1028.png,400,Health,150hp
1029,Cloth Armor,<mainText><stats><attention>15</attention> Armor</stats></mainText><br>,Slightly increases Armor,1029.png,300,Armor,15ar
1031,Chain Vest,<mainText><stats><attention>40</attention> Armor</stats></mainText><br>,Greatly increases Armor,1031.png,800,Armor,40ar
1033,Null-Magic Mantle,<mainText><stats><attention>25</attention> Magic Resist</stats></mainText><br>,Slightly increases Magic Resist,1033.png,450,SpellBlock,25mr
1035,Emberknife,"<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions for 4 seconds. During this time, you deal  <truedamage>48 - 125 (based on level)</truedamage> bonus true damage to them over 2.5 seconds on hit and take 20% reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText><br>",,1035.png,350,LifeSteal SpellVamp Jungle,
1036,Long Sword,<mainText><stats><attention>10</attention> Attack Damage</stats></mainText><br>,Slightly increases Attack Damage,1036.png,350,Damage Lane,10ad
1037,Pickaxe,<mainText><stats><attention>25</attention> Attack Damage</stats></mainText><br>,Moderately increases Attack Damage,1037.png,875,Damage,25ad
1038,B. F. Sword,<mainText><stats><attention>40</attention> Attack Damage</stats></mainText><br>,Greatly increases Attack Damage,1038.png,1300,Damage,40ad
1039,Hailblade,"<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Chilling Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Chilling Smite</attention> and increases its damage to monsters. When smiting champions Chilling Smite deals <truedamage>20 - 156 (based on level)</truedamage> true damage and steals 20% of their Move Speed for 2 seconds.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br></mainText><br>",Provides damage against Monsters and Mana Regen in the Jungle,1039.png,350,LifeSteal SpellVamp Jungle,
1040,Obsidian Edge,"<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Auto Path:</passive> Smiting 5 times consumes this item upgrade your Attack-Smite, increasing its damage to monsters.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules></mainText><br>",,1040.png,350,LifeSteal SpellVamp Jungle,
1042,Dagger,<mainText><stats><attention>12%</attention> Attack Speed</stats></mainText><br>,Slightly increases Attack Speed,1042.png,300,AttackSpeed,12as
1043,Recurve Bow,<mainText><stats><attention>25%</attention> Attack Speed</stats><br><li><passive>Steeltipped:</passive> Attacks apply <physicalDamage>15 physical damage</physicalDamage> <OnHit>On-Hit</OnHit>.</mainText><br>,Greatly increases Attack Speed,1043.png,1000,AttackSpeed OnHit,25as
1052,Amplifying Tome,<mainText><stats><attention>20</attention> Ability Power</stats></mainText><br>,Slightly increases Ability Power,1052.png,435,SpellDamage,20ap
1053,Vampiric Scepter,<mainText><stats><attention>15</attention> Attack Damage<br><attention>8%</attention> Life Steal</stats></mainText><br>,Basic attacks restore Health,1053.png,900,Damage LifeSteal,15ad 8ls
1054,Doran's Shield,"<mainText><stats><attention>80</attention> Health</stats><br><li><passive>Focus:</passive> Attacks deal an additional <physicalDamage>5 physical damage</physicalDamage> to minions.<li><passive>Recovery:</passive> Restores <healing>6 Health</healing> every 5 seconds.<li><passive>Endure:</passive> Restores up to <healing>40 Health</healing> over 8 seconds after taking damage from a champion, large jungle monster, or epic jungle monster. Restoration increases when you are low Health.<br><br><rules><passive>Endure</passive> 66% effective when owned by Ranged champions or when taking damage from area of effect or periodic damage sources.</rules></mainText><br>",Good defensive starting item,1054.png,450,Health HealthRegen Lane,80hp
1055,Doran's Blade,<mainText><stats><attention>8</attention> Attack Damage<br><attention>80</attention> Health</stats><br><li><passive>Warmonger:</passive> Gain <lifeSteal>2.5% Omnivamp</lifeSteal>.<br><br><rules>Omnivamp is only 33% effective when dealing area of effect damage or damage through pets.</rules></mainText><br>,Good starting item for attackers,1055.png,450,Health Damage SpellVamp Lane,8ad 80hp
1056,Doran's Ring,"<mainText><stats><attention>15</attention> Ability Power<br><attention>70</attention> Health</stats><br><li><passive>Focus:</passive> Attacks deal an additional <physicalDamage>5 physical damage</physicalDamage> to minions. <li><passive>Drain:</passive> Restore <scaleMana>0.75 Mana</scaleMana> every second. Damaging an enemy champion increases this amount to <scaleMana>1.25 Mana</scaleMana> every second for 10 seconds. If you can't gain Mana, restore 50% of the value as Health instead. </mainText><br>",Good starting item for casters,1056.png,400,Health Lane ManaRegen SpellDamage,15ap 70hp
